id,true,ours,bracol,n_det,multi_lesion,agree
175,Healthy,Healthy,Healthy,0,False,1
637,Rust,Healthy,Phoma,1,False,0
574,Phoma,Phoma,Phoma,1,False,1
318,Phoma,Phoma,Phoma,2,False,1
248,Phoma,Phoma,Phoma,2,False,1
1351,Miner,Rust,Phoma,2,True,0
405,Phoma,Phoma,Phoma,3,False,1
1045,Cercospora,Cercospora,Phoma,7,False,0
317,Phoma,Phoma,Phoma,1,False,1
392,Phoma,Phoma,Phoma,3,False,1
1582,Cercospora,Cercospora,Phoma,2,False,0
784,Miner,Miner,Phoma,1,False,0
562,Cercospora,Rust,Cercospora,2,True,0
676,Miner,Phoma,Miner,6,True,0
396,Phoma,Phoma,Phoma,3,False,1
1193,Healthy,Healthy,Healthy,0,False,1
666,Phoma,Cercospora,Phoma,3,False,0
53,Miner,Miner,Miner,4,False,1
174,Healthy,Healthy,Healthy,0,False,1
892,Miner,Miner,Phoma,2,False,0
204,Healthy,Healthy,Healthy,0,False,1
281,Phoma,Phoma,Phoma,3,False,1
1105,Healthy,Healthy,Healthy,0,False,1
1011,Mixed,Cercospora,Phoma,4,False,0
591,Phoma,Phoma,Phoma,1,False,1
1120,Miner,Miner,Phoma,2,False,0
1584,Rust,Rust,Rust,2,False,1
1014,Miner,Miner,Phoma,1,False,0
439,Cercospora,Phoma,Cercospora,1,False,0
1593,Rust,Rust,Rust,4,False,1
1230,Healthy,Healthy,Healthy,0,False,1
1080,Rust,Rust,Rust,2,False,1
1196,Healthy,Miner,Healthy,0,False,0
679,Cercospora,Phoma,Cercospora,1,False,0
982,Healthy,Healthy,Healthy,0,False,1
26,Miner,Miner,Miner,3,True,1
327,Phoma,Phoma,Phoma,4,False,1
1305,Miner,Miner,Phoma,2,False,0
888,Miner,Miner,Phoma,2,False,0
284,Phoma,Phoma,Phoma,1,False,1
97,Rust,Rust,Rust,12,False,1
1605,Rust,Cercospora,Rust,17,False,0
308,Phoma,Phoma,Phoma,6,False,1
1234,Rust,Rust,Rust,5,False,1
558,Rust,Rust,Rust,6,False,1
24,Miner,Miner,Miner,3,False,1
1208,Miner,Miner,Phoma,1,False,0
1350,Rust,Rust,Rust,12,False,1
994,Healthy,Healthy,Healthy,0,False,1
371,Phoma,Phoma,Phoma,3,False,1
388,Phoma,Phoma,Phoma,3,False,1
1676,Cercospora,Cercospora,Rust,6,False,0
1603,Rust,Rust,Rust,12,False,1
978,Healthy,Healthy,Healthy,0,False,1
699,Miner,Miner,Phoma,3,False,0
202,Healthy,Healthy,Healthy,0,False,1
720,Rust,Rust,Rust,4,True,1
395,Phoma,Phoma,Phoma,3,False,1
1099,Miner,Miner,Phoma,4,True,0
1462,Cercospora,Rust,Phoma,7,True,0
350,Phoma,Phoma,Phoma,2,False,1
643,Healthy,Healthy,Healthy,0,False,1
1521,Mixed,Rust,Phoma,3,True,0
769,Rust,Rust,Rust,4,False,1
1392,Miner,Cercospora,Phoma,3,True,0
1742,Healthy,Healthy,Healthy,0,False,1
1535,Rust,Rust,Rust,3,False,1
326,Phoma,Phoma,Phoma,1,False,1
963,Healthy,Healthy,Healthy,0,False,1
424,Phoma,Phoma,Phoma,3,False,1
1023,Miner,Miner,Phoma,3,False,0
1447,Rust,Rust,Rust,6,True,1
344,Phoma,Phoma,Phoma,2,False,1
231,Healthy,Healthy,Healthy,0,False,1
1114,Miner,Miner,Phoma,1,False,0
1093,Healthy,Healthy,Healthy,0,False,1
71,Miner,Miner,Phoma,2,False,0
546,Phoma,Phoma,Phoma,1,False,1
1034,Rust,Rust,Rust,12,True,1
698,Miner,Miner,Phoma,7,True,0
1328,Rust,Rust,Rust,8,False,1
645,Phoma,Phoma,Phoma,1,False,1
741,Healthy,Healthy,Healthy,0,False,1
238,Phoma,Phoma,Phoma,2,False,1
1417,Cercospora,Cercospora,Cercospora,2,False,1
59,Miner,Miner,Miner,2,False,1
1225,Miner,Cercospora,Phoma,2,True,0
1566,Rust,Rust,Rust,4,True,1
499,Phoma,Phoma,Phoma,3,False,1
1461,Rust,Rust,Rust,8,True,1
1661,Cercospora,Cercospora,Rust,5,True,0
606,Rust,Rust,Rust,5,True,1
701,Healthy,Miner,Healthy,0,False,0
1665,Mixed,Cercospora,Phoma,1,False,0
1239,Rust,Rust,Rust,23,False,1
1710,Rust,Rust,Rust,12,False,1
1029,Miner,Miner,Phoma,4,False,0
1072,Miner,Miner,Phoma,4,False,0
535,Cercospora,Cercospora,Cercospora,6,False,1
1601,Cercospora,Rust,Cercospora,1,False,0
489,Phoma,Phoma,Phoma,3,False,1
1386,Rust,Rust,Rust,4,False,1
1616,Rust,Rust,Rust,13,False,1
531,Phoma,Phoma,Phoma,2,False,1
1081,Healthy,Healthy,Healthy,0,False,1
1272,Rust,Miner,Rust,1,False,0
1000,Miner,Cercospora,Phoma,1,False,0
1615,Mixed,Miner,Rust,13,False,0
1163,Miner,Rust,Phoma,3,False,0
949,Healthy,Healthy,Healthy,0,False,1
1715,Mixed,Rust,Rust,5,True,1
781,Healthy,Healthy,Healthy,0,False,1
462,Phoma,Phoma,Phoma,1,False,1
1673,Cercospora,Miner,Cercospora,1,False,0
1436,Rust,Rust,Rust,10,False,1
1353,Rust,Rust,Rust,8,False,1
524,Phoma,Phoma,Phoma,6,False,1
1109,Miner,Miner,Phoma,2,False,0
1383,Rust,Rust,Rust,8,False,1
846,Miner,Rust,Phoma,1,False,0
567,Cercospora,Phoma,Phoma,1,False,1
1315,Rust,Rust,Rust,13,False,1
473,Phoma,Phoma,Phoma,2,False,1
1108,Miner,Miner,Miner,1,False,1
1746,Cercospora,Cercospora,Phoma,3,True,0
137,Miner,Miner,Phoma,2,False,0
1388,Rust,Rust,Rust,11,False,1
1553,Cercospora,Phoma,Phoma,2,False,1
642,Healthy,Healthy,Healthy,0,False,1
705,Miner,Miner,Miner,2,True,1
90,Rust,Rust,Rust,21,False,1
909,Healthy,Healthy,Healthy,0,False,1
1618,Cercospora,Miner,Rust,13,False,0
732,Miner,Miner,Phoma,1,False,0
112,Rust,Rust,Rust,10,False,1
586,Rust,Healthy,Rust,6,False,0
821,Miner,Miner,Miner,2,False,1
1313,Cercospora,Cercospora,Cercospora,1,False,1
1379,Mixed,Rust,Phoma,2,True,0
141,Rust,Rust,Rust,20,True,1
1179,Phoma,Phoma,Phoma,1,False,1
211,Healthy,Healthy,Healthy,0,False,1
491,Phoma,Phoma,Phoma,1,False,1
602,Healthy,Healthy,Healthy,0,False,1
1354,Rust,Rust,Rust,17,False,1
935,Healthy,Healthy,Healthy,0,False,1
1687,Rust,Rust,Rust,4,False,1
1484,Cercospora,Rust,Phoma,2,False,0
37,Miner,Miner,Miner,4,True,1
47,Miner,Miner,Phoma,2,False,0
1465,Rust,Rust,Phoma,5,True,0
68,Miner,Miner,Phoma,4,True,0
1343,Miner,Miner,Phoma,4,True,0
73,Miner,Miner,Miner,1,False,1
1306,Rust,Rust,Rust,14,False,1
1184,Healthy,Healthy,Healthy,0,False,1
1682,Rust,Cercospora,Rust,3,False,0
840,Miner,Miner,Phoma,2,False,0
455,Phoma,Phoma,Phoma,1,False,1
1685,Healthy,Healthy,Healthy,0,False,1
1211,Miner,Miner,Phoma,1,False,0
1424,Rust,Rust,Rust,19,False,1
1491,Rust,Cercospora,Rust,5,False,0
1609,Rust,Rust,Rust,7,False,1
1056,Miner,Miner,Phoma,1,False,0
1444,Cercospora,Rust,Miner,2,True,0
912,Rust,Miner,Rust,14,True,0
94,Rust,Rust,Rust,24,True,1
556,Phoma,Phoma,Phoma,5,False,1
1393,Cercospora,Rust,Rust,3,True,1
208,Healthy,Healthy,Healthy,0,False,1
891,Healthy,Healthy,Healthy,0,False,1
740,Healthy,Healthy,Healthy,0,False,1
1309,Rust,Rust,Rust,11,True,1
617,Phoma,Miner,Phoma,1,False,0
143,Rust,Rust,Rust,32,False,1
448,Phoma,Phoma,Phoma,7,False,1
362,Phoma,Phoma,Phoma,6,False,1
153,Rust,Rust,Rust,24,False,1
15,Healthy,Healthy,Healthy,0,False,1
501,Phoma,Phoma,Phoma,4,False,1
757,Miner,Miner,Phoma,2,False,0
876,Miner,Miner,Miner,4,False,1
1415,Mixed,Rust,Rust,7,True,1
640,Phoma,Phoma,Phoma,1,False,1
1243,Rust,Rust,Rust,21,True,1
825,Healthy,Healthy,Healthy,0,False,1
297,Phoma,Phoma,Phoma,3,False,1
573,Healthy,Healthy,Healthy,0,False,1
1238,Rust,Rust,Rust,4,True,1
708,Healthy,Healthy,Healthy,0,False,1
1346,Rust,Rust,Rust,23,False,1
1747,Rust,Rust,Rust,14,True,1
1141,Miner,Miner,Phoma,1,False,0
523,Phoma,Phoma,Phoma,2,False,1
1716,Rust,Rust,Rust,13,True,1
1147,Miner,Miner,Miner,3,False,1
812,Rust,Rust,Rust,9,False,1
1460,Rust,Rust,Rust,10,False,1
1387,Cercospora,Rust,Rust,3,False,1
1287,Rust,Rust,Rust,2,False,1
442,Phoma,Phoma,Phoma,1,False,1
908,Miner,Cercospora,Phoma,3,True,0
1498,Rust,Rust,Rust,5,False,1
1635,Rust,Rust,Rust,7,False,1
99,Rust,Rust,Rust,25,False,1
374,Phoma,Phoma,Phoma,1,False,1
808,Miner,Rust,Phoma,1,False,0
483,Phoma,Phoma,Phoma,1,False,1
1079,Rust,Healthy,Rust,3,False,0
725,Rust,Rust,Phoma,1,False,0
1470,Rust,Rust,Rust,13,False,1
343,Phoma,Phoma,Phoma,2,False,1
1290,Rust,Rust,Rust,8,False,1
1432,Rust,Rust,Rust,12,False,1
